day,forest_id,truck_id,trip_number,total_trips_for_truck,cbm_per_truck,profit
1,Ciplac - C.Leroy,2,1,1,45,1219.5
1,Ciplac - C.Leroy,5,1,1,45,1219.5
1,Ciplac - C.Leroy,7,1,1,45,1219.5
1,Ciplac - C.Leroy,10,1,1,45,1219.5
1,Ciplac - C.Leroy,16,1,1,45,1219.5
1,Ciplac - C.Leroy,23,1,1,45,1219.5
1,Ciplac - C.Leroy,33,1,1,45,1219.5
1,Ciplac - C.Leroy,35,1,1,45,1219.5
1,Ciplac - C.Leroy,42,1,1,45,1219.5
1,Ciplac - C.Leroy,43,1,1,45,1219.5
1,Ciplac - C.Leroy,46,1,1,45,1219.5
1,Ciplac - C.Leroy,50,1,1,45,1219.5
1,Ciplac - C.Leroy,57,1,1,55,1490.5
1,Ciplac - C.Leroy,60,1,1,55,1490.5
1,Ciplac - C.Leroy,63,1,1,55,1490.5
1,Ciplac - C.Leroy,65,1,1,55,1490.5
1,Ciplac - C.Leroy,69,1,1,55,1490.5
1,Ciplac - C.Leroy,79,1,1,55,1490.5
1,Ciplac - C.Leroy,80,1,1,55,1490.5
1,Ciplac - C.Leroy,87,1,1,55,1490.5
1,Ciplac - C.Leroy,92,1,1,55,1490.5
1,Ciplac - C.Leroy,102,1,1,55,1490.5
1,Ciplac - C.Leroy,107,1,1,55,1490.5
1,Ciplac - C.Leroy,110,1,1,55,1490.5
1,Ciplac - C.Leroy,111,1,1,55,1490.5
1,Ciplac - C.Leroy,116,1,1,55,1490.5
1,Ciplac - C.Leroy,120,1,1,55,1490.5
1,Ciplac - C.Leroy,121,1,1,55,1490.5
1,Ciplac - C.Leroy,122,1,1,55,1490.5
1,Ciplac - C.Leroy,123,1,1,55,1490.5
1,Ciplac - C.Leroy,127,1,1,55,1490.5
1,Ciplac - C.Leroy,128,1,1,55,1490.5
1,Ciplac - C.Leroy,129,1,1,55,1490.5
1,Coco beach - AV,11,1,2,45,2564.1
1,Coco beach - AV,14,1,2,45,2564.1
1,Coco beach - AV,15,1,2,45,2564.1
1,Coco beach - AV,28,1,2,45,2564.1
1,Coco beach - AV,32,1,2,45,2564.1
1,Coco beach - AV,34,1,2,45,2564.1
1,Coco beach - AV,39,1,2,45,2564.1
1,Coco beach - AV,41,1,2,45,1282.05
1,Coco beach - AV,58,1,2,55,3133.8999999999996
1,Coco beach - AV,61,1,2,55,1566.9499999999998
1,Coco beach - AV,66,1,2,55,1566.9499999999998
1,Coco beach - AV,71,1,2,55,1566.9499999999998
1,Coco beach - AV,84,1,2,55,3133.8999999999996
1,Coco beach - AV,95,1,2,55,3133.8999999999996
1,Coco beach - AV,101,1,2,55,3133.8999999999996
1,Coco beach - AV,124,1,2,55,3133.8999999999996
1,Coco beach - AV,126,1,2,55,3133.8999999999996
1,HuaJia,3,1,3,45,955.35
1,HuaJia,8,1,3,45,955.35
1,HuaJia,12,1,3,45,2866.05
1,HuaJia,17,1,3,45,955.35
1,HuaJia,20,1,3,45,1910.7
1,HuaJia,21,1,3,45,1910.7
1,HuaJia,22,1,3,45,1910.7
1,HuaJia,29,1,3,45,955.35
1,HuaJia,37,1,3,45,1910.7
1,HuaJia,40,1,3,45,955.35
1,HuaJia,44,1,3,45,955.35
1,HuaJia,47,1,3,45,955.35
1,HuaJia,48,1,3,45,955.35
1,HuaJia,49,1,3,45,955.35
1,HuaJia,52,1,3,55,1167.65
1,HuaJia,59,1,3,55,2335.3
1,HuaJia,73,1,3,55,3502.9500000000003
1,HuaJia,82,1,3,55,1167.65
1,HuaJia,85,1,3,55,1167.65
1,HuaJia,90,1,3,55,1167.65
1,HuaJia,91,1,3,55,3502.9500000000003
1,HuaJia,93,1,3,55,3502.9500000000003
1,HuaJia,106,1,3,55,3502.9500000000003
1,MPB - Mabanda,4,1,1,45,2404.5801524999997
1,MPB - Mabanda,6,1,1,45,2404.5801524999997
1,MPB - Mabanda,13,1,1,45,2404.5801524999997
1,MPB - Mabanda,18,1,1,45,2404.5801524999997
1,MPB - Mabanda,24,1,1,45,2404.5801524999997
1,MPB - Mabanda,25,1,1,45,2404.5801524999997
1,MPB - Mabanda,26,1,1,45,2404.5801524999997
1,MPB - Mabanda,30,1,1,45,2404.5801524999997
1,MPB - Mabanda,38,1,1,45,2404.5801524999997
1,MPB - Mabanda,51,1,1,55,2938.9312975
1,MPB - Mabanda,53,1,1,55,2938.9312975
1,MPB - Mabanda,56,1,1,55,2938.9312975
1,MPB - Mabanda,62,1,1,55,2938.9312975
1,MPB - Mabanda,64,1,1,55,2938.9312975
1,MPB - Mabanda,68,1,1,55,2938.9312975
1,MPB - Mabanda,70,1,1,55,2938.9312975
1,MPB - Mabanda,72,1,1,55,2938.9312975
1,MPB - Mabanda,74,1,1,55,2938.9312975
1,MPB - Mabanda,76,1,1,55,2938.9312975
1,MPB - Mabanda,77,1,1,55,2938.9312975
1,MPB - Mabanda,81,1,1,55,2938.9312975
1,MPB - Mabanda,83,1,1,55,2938.9312975
1,MPB - Mabanda,89,1,1,55,2938.9312975
1,MPB - Mabanda,94,1,1,55,2938.9312975
1,MPB - Mabanda,96,1,1,55,2938.9312975
1,MPB - Mabanda,98,1,1,55,2938.9312975
1,MPB - Mabanda,103,1,1,55,2938.9312975
1,MPB - Mabanda,104,1,1,55,2938.9312975
1,MPB - Mabanda,105,1,1,55,2938.9312975
1,MPB - Mabanda,108,1,1,55,2938.9312975
1,MPB - Mabanda,112,1,1,55,2938.9312975
1,MPB - Mabanda,113,1,1,55,2938.9312975
1,MPB - Mabanda,114,1,1,55,2938.9312975
1,MPB - Mabanda,115,1,1,55,2938.9312975
1,MPB - Mabanda,117,1,1,55,2938.9312975
1,MPB - Mabanda,118,1,1,55,2938.9312975
1,MPB - Mabanda,119,1,1,55,2938.9312975
1,MPB - Mabanda,125,1,1,55,2938.9312975
1,PFM,19,1,3,45,5188.05
1,PFM,27,1,3,45,5188.05
1,PFM,31,1,3,45,5188.05
1,PFM,55,1,3,55,6340.95
1,PFM,78,1,3,55,6340.95
1,PFM,97,1,3,55,6340.95
1,RTC - Makabana,1,1,1,45,830.25
1,RTC - Makabana,45,1,1,45,830.25
1,RTC - Makabana,99,1,1,55,1014.75
1,RTC - Makabana,100,1,1,55,1014.75
1,Somivab -Biliba,9,1,1,45,1717.5572518499998
1,Somivab -Biliba,36,1,1,45,1717.5572518499998
1,Somivab -Biliba,54,1,1,55,2099.2366411499997
1,Somivab -Biliba,67,1,1,55,2099.2366411499997
1,Somivab -Biliba,75,1,1,55,2099.2366411499997
1,Somivab -Biliba,86,1,1,55,2099.2366411499997
1,Somivab -Biliba,88,1,1,55,2099.2366411499997
1,Somivab -Biliba,109,1,1,55,2099.2366411499997
1,Somivab -Biliba,130,1,1,55,2099.2366411499997
2,Coco beach - AV,11,2,2,45,2564.1
2,Coco beach - AV,14,2,2,45,2564.1
2,Coco beach - AV,15,2,2,45,2564.1
2,Coco beach - AV,28,2,2,45,2564.1
2,Coco beach - AV,32,2,2,45,2564.1
2,Coco beach - AV,34,2,2,45,2564.1
2,Coco beach - AV,39,2,2,45,2564.1
2,Coco beach - AV,58,2,2,55,3133.8999999999996
2,Coco beach - AV,84,2,2,55,3133.8999999999996
2,Coco beach - AV,95,2,2,55,3133.8999999999996
2,Coco beach - AV,101,2,2,55,3133.8999999999996
2,Coco beach - AV,124,2,2,55,3133.8999999999996
2,Coco beach - AV,126,2,2,55,3133.8999999999996
2,HuaJia,12,2,3,45,2866.05
2,HuaJia,20,2,3,45,1910.7
2,HuaJia,21,2,3,45,1910.7
2,HuaJia,22,2,3,45,1910.7
2,HuaJia,37,2,3,45,1910.7
2,HuaJia,59,2,3,55,2335.3
2,HuaJia,66,2,2,55,1167.65
2,HuaJia,71,2,2,55,1167.65
2,HuaJia,73,2,3,55,3502.9500000000003
2,HuaJia,91,2,3,55,3502.9500000000003
2,HuaJia,93,2,3,55,3502.9500000000003
2,HuaJia,106,2,3,55,3502.9500000000003
2,PFM,3,2,3,45,3458.7
2,PFM,8,2,3,45,3458.7
2,PFM,17,2,3,45,3458.7
2,PFM,19,2,3,45,5188.05
2,PFM,27,2,3,45,5188.05
2,PFM,29,2,3,45,3458.7
2,PFM,31,2,3,45,5188.05
2,PFM,40,2,3,45,3458.7
2,PFM,41,2,2,45,1729.35
2,PFM,44,2,3,45,3458.7
2,PFM,47,2,3,45,3458.7
2,PFM,48,2,3,45,3458.7
2,PFM,49,2,3,45,3458.7
2,PFM,52,2,3,55,4227.3
2,PFM,55,2,3,55,6340.95
2,PFM,61,2,2,55,2113.65
2,PFM,78,2,3,55,6340.95
2,PFM,82,2,3,55,4227.3
2,PFM,85,2,3,55,4227.3
2,PFM,90,2,3,55,4227.3
2,PFM,97,2,3,55,6340.95
3,HuaJia,12,3,3,45,2866.05
3,HuaJia,73,3,3,55,3502.9500000000003
3,HuaJia,91,3,3,55,3502.9500000000003
3,HuaJia,93,3,3,55,3502.9500000000003
3,HuaJia,106,3,3,55,3502.9500000000003
3,PFM,3,3,3,45,3458.7
3,PFM,8,3,3,45,3458.7
3,PFM,17,3,3,45,3458.7
3,PFM,19,3,3,45,5188.05
3,PFM,20,3,3,45,1729.35
3,PFM,21,3,3,45,1729.35
3,PFM,22,3,3,45,1729.35
3,PFM,27,3,3,45,5188.05
3,PFM,29,3,3,45,3458.7
3,PFM,31,3,3,45,5188.05
3,PFM,37,3,3,45,1729.35
3,PFM,40,3,3,45,3458.7
3,PFM,44,3,3,45,3458.7
3,PFM,47,3,3,45,3458.7
3,PFM,48,3,3,45,3458.7
3,PFM,49,3,3,45,3458.7
3,PFM,52,3,3,55,4227.3
3,PFM,55,3,3,55,6340.95
3,PFM,59,3,3,55,2113.65
3,PFM,78,3,3,55,6340.95
3,PFM,82,3,3,55,4227.3
3,PFM,85,3,3,55,4227.3
3,PFM,90,3,3,55,4227.3
3,PFM,97,3,3,55,6340.95
